team_id,1_player,2_player,3_player,4_player,5_player,prpg!,dprpg,bpm,obpm,dbpm
2021 Grand Canyon,Jovan Blacksher Jr.,Mikey Dixon,Oscar Frayer,Alessandro Lever,Asbjorn Midtgaard,10.7,15.8,13.7,6.4,9.3
2022 Creighton,Trey Alexander,Alex O'Connell,Arthur Kaluma,Ryan Hawkins,Ryan Kalkbrenner,12.3,18,13.6,8.2,13.4
2021 Wichita St.,Alterique Gilbert,Tyson Etienne,Dexter Dennis,Trey Wade,Morris Udeze,11.8,14.7,13.6,7.9,6.3
2021 Eastern Washington,Michael Meadows,Jack Perry,Jacob Groves,Kim Aiken Jr.,Tanner Groves,11.9,11.9,13.5,9.8,4.2
2022 Iowa St.,Tyrese Hunter,Gabe Kalscheur,Izaiah Brockington,Aljaz Kunc,George Conditt IV,9.5,18.2,13.5,1,12.9
2016 Stony Brook,Carson Puriefoy,Lucas Woodhouse,Ahmad Walker,Rayshaun McGrew,Jameel Warney,11.4,17.2,13.4,6.3,5.9
2019 Baylor,Makai Mason,Jared Butler,King McClure,Mark Vital,Mario Kegler,11.8,15.8,13.2,9.8,3.2
2022 Georgia St.,Justin Roberts,Corey Allen,Kane Williams,Eliel Nsoseme,Jalen Thomas,9.9,13.8,13.2,3.9,6.7
2017 Florida Gulf Coast,Brandon Goodwin,Zach Johnson,Christian Terrell,Marc-Eddy Norelia,Demetris Morant,12,12.7,13.1,11.7,2.6
2018 Marshall,Jon Elmore,Jarrod West,C.J. Burks,Jannson Williams,Ajdin Penava,13.3,14.5,13,9.2,3.5
2018 Texas,Matt Coleman,Jacob Young,Kerwin Roach II,Jericho Sims,Dylan Osetkowski,9,16.1,13,2.9,7.5
2015 UC Irvine,Alex Young,Luke Nelson,Travis Souza,Will Davis II,Mamadou Ndiaye,9.6,14.9,12.9,7.7,8.6
2018 Georgia St.,D'Marcus Simonds,Devin Mitchell,Jeff Thomas,Malik Benlevi,Jordan Session,12.4,15.7,12.9,8.1,4.9
2021 Abilene Christian,Reggie Miller,Damien Daniels,Coryon Mason,Joe Pleasant,Kolton Kohl,6.5,16,12.9,2,10.7
2023 Louisiana,Themus Fulks,Kentrell Garnett,Greg Williams Jr.,Terence Lewis II,Jordan Brown,13.6,12.6,12.9,12.1,6.9
2021 Colgate,Jordan Burns,Nelly Cummings,Tucker Richardson,Ryan Moffatt,Keegan Records,12.3,13.8,12.8,9.3,2.2
2022 Richmond,Jacob Gilyard,Andre Gustavson,Nathan Cayo,Tyler Burton,Grant Golden,13.8,15.1,12.8,9.3,9.5
2022 Seton Hall,Jamir Harris,Myles Cale,Jared Rhoden,Alexis Yetna,Tyrese Samuel,9.9,15.5,12.6,4.4,7.8
