team_id,1_player,2_player,3_player,4_player,5_player,prpg!,dprpg,bpm,obpm,dbpm
2013 Western Kentucky,Jamal Crook,Caden Dickerson,T.J. Price,George Fant,Aleksejs Rostov,6.5,11,-2.1,-1.8,-0.7
2013 Wichita St.,Malcolm Armstead,Tekele Cotton,Ron Baker,Cleanthony Early,Carl Hall,14,16.3,28.8,18.7,14.1
2013 Wisconsin,Traevon Jackson,Ben Brust,Mike Bruesewitz,Ryan Evans,Jared Berggren,11.3,21.8,23.6,5.7,14.3
2014 Albany,DJ Evans,Peter Hooley,Gary Johnson,Sam Rowley,John Puk,7.8,13.3,0,-0.9,-0.6
2014 American,Darius Gardner,Jesse Reed,John Schoof,Marko Vasic,Tony Wroblicky,9.9,17.7,8.7,1.2,5.1
2014 Arizona,T.J. McConnell,Gabe York,Nick Johnson,Aaron Gordon,Kaleb Tarczewski,14.2,22.3,34.3,15.1,18.6
2014 Arizona St.,Jahii Carson,Jermaine Marshall,Shaquielle McKissic,Jonathan Gilling,Jordan Bachynski,13,18.8,21.2,10.4,9.8
2014 Baylor,Kenny Chery,Brady Heslip,Royce O'Neale,Cory Jefferson,Isaiah Austin,17,14.4,28.9,21.9,11.1
2014 BYU,Kyle Collinsworth,Anson Winder,Tyler Haws,Eric Mika,Nate Austin,12.9,14.2,17.5,12.1,6.8
2014 Cal Poly,Jamal Johnson,Kyle Odister,Dave Nwaba,Joel Awich,Chris Eversley,7.4,11.3,7.5,4.2,-0.5
2014 Cincinnati,Ge'Lawn Guyn,Sean Kilpatrick,Shaquille Thomas,Titus Rubles,Justin Jackson,10.8,19.1,23,6.8,12.2
2014 Coastal Carolina,Josh Cameron,Warren Gillis,Elijah Wilson,Badou Diagne,El Hadji Ndieguene,5.9,13.7,1.1,-2.1,1.3
2014 Colorado,Askia Booker,Xavier Talton,Xavier Johnson,Wesley Gordon,Josh Scott,10.5,16.6,16.5,7.1,7
2014 Connecticut,Shabazz Napier,Ryan Boatright,Niels Giffey,DeAndre Daniels,Phillip Nolan,14.4,17.2,25.9,13.1,13.4
2014 Creighton,Austin Chatman,Jahenns Manigat,Grant Gibbs,Ethan Wragge,Doug McDermott,19.9,14.8,31.1,26.1,10.7
2014 Dayton,Khari Price,Jordan Sibert,Dyshawn Pierre,Devin Oliver,Matt Kavanaugh,13.4,12.5,22.6,17.6,9.2
2014 Delaware,Jarvis Threatt,Kyle Anderson,Devon Saddler,Davon Usher,Carl Baptiste,17.4,16.9,21.9,17.7,8.6
2014 Duke,Rasheed Sulaimon,Tyler Thornton,Rodney Hood,Amile Jefferson,Jabari Parker,18.2,15.4,30.7,22.2,11.8
2014 Eastern Kentucky,Glenn Cosey,Marcus Lewis,Corey Walden,Tarius Johnson,Eric Stutz,12.8,11.6,7.7,9.5,0.8
2014 Florida,Scottie Wilbekin,Michael Frazier,Casey Prather,Will Yeguete,Patric Young,15.7,21.1,36.4,17.6,13.9
2014 George Washington,Joe McDonald,Maurice Creek,Patricio Garino,Isaiah Armwood,Kevin Larsen,13.1,18.3,22,11.9,9.4
2014 Gonzaga,David Stockton,Kevin Pangos,Gary Bell Jr.,Sam Dower Jr.,Przemek Karnowski,14,18.1,23.3,12,14.9
2014 Harvard,Siyani Chambers,Laurent Rivard,Wesley Saunders,Steve Moundo-Missi,Kyle Casey,12.3,17.7,19.5,9.2,9.8
2014 Iowa,Mike Gesell,Roy Devyn Marble,Melsahn Basabe,Aaron White,Adam Woodbury,13.2,14.3,27.3,18.3,13.4
2014 Iowa St.,DeAndre Kane,Monte Morris,Naz Long,Dustin Hogue,Melvin Ejim,16.1,17.3,26.4,17.4,10.9
2014 Kansas,Naadir Tharpe,Wayne Selden Jr.,Andrew Wiggins,Perry Ellis,Tarik Black,15.7,15.6,27.8,19.1,12.5
2014 Kansas St.,Will Spradling,Marcus Foster,Wesley Iwundu,Shane Southwell,Thomas Gipson,10.3,16.9,22.4,10.3,11.4
2014 Kentucky,Andrew Harrison,Aaron Harrison,James Young,Julius Randle,Dakari Johnson,15.1,16.7,22,15.5,9.6
2014 Louisiana,Elfrid Payton,Bryant Mbamalu,Xavian Rimmer,Elridge Moore,Shawn Long,11.4,12.6,11,10.6,-2.8
2014 Louisville,Russ Smith,Chris Jones,Luke Hancock,Montrezl Harrell,Stephan Van Treese,15.6,19.6,40.6,20.9,21.8
2014 Manhattan,Michael Alvarado,RaShawn Stores,George Beamon,Emmy Andujar,Rhamel Brown,9.1,14.7,20.3,9.3,10.5
2014 Massachusetts,Chaz Williams,Derrick Gordon,Raphiael Putney,Sampson Carter,Cady Lalanne,10.4,17.3,14.8,6.5,8.5
2014 Memphis,Joe Jackson,Geron Johnson,Chris Crawford,Austin Nichols,Shaq Goodwin,10.7,17.3,18.7,8.5,10.6
2014 Mercer,Langston Hall,Anthony White,Bud Thomas,Jake Gollon,Daniel Coursey,8.2,13.9,11.3,4.7,5.6
2014 Michigan,Derrick Walton Jr.,Nik Stauskas,Caris LeVert,Glenn Robinson III,Jordan Morgan,18.5,15.8,26.2,20.9,8.3
2014 Michigan St.,Keith Appling,Gary Harris,Denzel Valentine,Branden Dawson,Adreian Payne,17.7,19.6,34.5,22,15.6
2014 Milwaukee,Jordan Aaron,Steve McWhorter,Austin Arians,Kyle Kelm,Matt Tiby,9,13.2,2.9,3.4,1.5
2014 Mount St. Mary's,Julian Norfleet,Byron Ashe,Sam Prescott,Rashad Whack,Taylor Danaher,10.4,8.7,-0.3,6.1,-2
2014 NC St.,Tyler Lewis,Ralston Turner,T.J. Warren,Kyle Washington,Jordan Vandenberg,11.9,12,14,10.7,-0.1
2014 Nebraska,Benny Parker,Ray Gallegos,Terran Petteway,Shavon Shields,Walter Pitchford,11.9,15.1,20.4,9.8,11
2014 New Mexico,Kendall Williams,Hugh Greenwood,Deshawn Delaney,Cameron Bairstow,Alex Kirk,16.4,17.7,30.2,17.4,17.3
2014 New Mexico St.,Daniel Mullings,DK Eldridge,Kevin Aronis,Tshilidzi Nephawe,Sim Bhullar,11.4,13.7,17.3,11.9,5.6
2014 North Carolina,Marcus Paige,Leslie McDonald,J.P. Tokoto,James Michael McAdoo,Kennedy Meeks,12.7,17.6,26,15.2,11.3
2014 North Carolina Central,Emanuel Chapman,Jeremy Ingram,Alfonzo Houston,Karamo Jawara,Jay Copeland,9,16.4,10.1,4.1,4.2
2014 North Dakota St.,Lawrence Alexander,Kory Brown,TrayVonn Wright,Taylor Braun,Marshall Bjorklund,15.4,13.6,17.2,15.1,7.3
2014 Ohio St.,Aaron Craft,Lenzelle Smith Jr.,Sam Thompson,LaQuinton Ross,Amir Williams,11.9,20.8,28,10.7,20.4
2014 Oklahoma,Jordan Woodard,Isaiah Cousins,Buddy Hield,Cameron Clark,Ryan Spangler,16.3,15.5,22.8,17.3,8.3
2014 Oklahoma St.,Marcus Smart,Phil Forte,Markel Brown,Le'Bryan Nash,Kamari Murphy,17.6,19.1,30.6,18.6,12.4
2014 Oregon,Johnathan Loyd,Joseph Young,Damyean Dotson,Mike Moser,Waverly Austin,13,12.4,19.7,13.7,9.2
2014 Pittsburgh,Lamar Patterson,James Robinson,Cameron Wright,Michael Young,Talib Zanna,15.9,18.3,29.5,16.9,12.7
2014 Providence,Bryce Cotton,Josh Fortune,LaDontae Henton,Tyler Harris,Kadeem Batts,16.2,17.2,15.2,13.1,2.8
2014 Saint Joseph's,Chris Wilson,Langston Galloway,DeAndre Bembry,Ronald Roberts,Halil Kanacevic,14.8,18.3,21.4,12.8,10.8
2014 Saint Louis,Jordair Jett,Mike McCall Jr.,Jake Barnett,Dwayne Evans,Rob Loe,9,20.1,21,4.3,14.6
2014 San Diego St.,Xavier Thames,JJ O'Brien,Winston Shepard,Josh Davis,Skylar Spencer,9.5,20.5,22.8,7.6,13.6
2014 Stanford,Chasson Randle,Anthony Brown,Josh Huestis,Dwight Powell,Stefan Nastic,15.2,17.6,20.7,11.9,9.1
2014 Stephen F. Austin,Trey Pinkney,Desmond Haymon,Thomas Walkup,Nikola Gajic,Jacob Parker,11.1,14.5,19.3,11.9,7.7
2014 Syracuse,Tyler Ennis,Trevor Cooney,C.J. Fair,Jerami Grant,Rakeem Christmas,17.4,20.5,28.9,15,15.7
2014 Tennessee,Antonio Barton,Jordan McRae,Josh Richardson,Jeronne Maymon,Jarnell Stokes,16.5,18.2,30.1,19.6,11.2
2014 Texas,Javan Felix,Isaiah Taylor,Demarcus Holland,Jonathan Holmes,Cameron Ridley,10.8,16.4,20,10.9,13.2
2014 Texas Southern,Madarious Gibbs,Lawrence Johnson-Danner,D'Aris Scarver,D'Angelo Scott,Aaric Murray,8.5,7.9,-3.7,3.5,-5.9
